Carnet,Carrera,Plan,IdCampus,Sexo,AnioIngreso,CicloIngreso,InstitucionBach,TieneBeca,PorcentajeBeca_Promedio,MateriasInscritas_C1,MateriasAprobadas_C1,MateriasReprobadas_C1,TasaAprobacion_C1,PromedioCiclo_C1,MateriasInscritas_C2,MateriasAprobadas_C2,MateriasReprobadas_C2,TasaAprobacion_C2,PromedioCiclo_C2,TotalMateriasInscritas_Anio1,TotalMateriasAprobadas_Anio1,TotalMateriasReprobadas_Anio1,TasaAprobacion_Anio1,PromedioGeneral_Anio1,AvanceCarrera_FinAnio1,PAES_Score,CantInsolvencias_Recurrentes,CantRetirosParciales,CantRetirosTotales,CantCambiosCarrera,Ind_PAES,Ind_CUM,Ind_Avance,Ind_Solvencia,Ind_RetiroParcial,Ind_RetiroTotal,Ind_CambioCarrera,Ind_Reprobacion,Ind_BrechaDesercion,IRE_Total,Deserto
AA172255  ,920,2023,9,102302,2023,2,246,0,NULL,4,2,1,0.5,3.71,4,2,2,0.5,4.9,8,4,3,0.5,4.3,11.2,7.05,9,1,0,1,0,1,0,1,0,0,1,0,0,3,0
AA200011  ,409,2019,1,102301,2020,1,185,0,NULL,4,4,0,1,7.34,4,4,0,1,7.64,8,8,0,1,7.49,100,7.84,5,0,0,0,0,0,0,1,0,0,0,0,0,1,0
AA200050  ,404,2019,1,102301,2020,1,471,0,NULL,5,1,0,0.2,1.66,NULL,NULL,NULL,NULL,NULL,5,1,0,0.2,1.66,3.8,3.25,3,4,0,0,1,1,1,1,1,0,0,0,0,5,1
AA200098  ,413,2016,1,102302,2020,1,142,0,NULL,4,3,0,0.75,5.12,4,4,0,1,8.33,8,7,0,0.875,6.72,56.6,3.92,2,1,0,0,1,0,0,1,0,0,0,0,0,2,0
AA200124  ,413,2016,2,102302,2020,1,337,0,NULL,5,5,0,1,8.77,5,5,0,1,8.51,10,10,0,1,8.64,48.1,7.66,4,0,0,1,0,0,0,1,0,0,1,0,0,2,0
AA200176  ,404,2019,1,102301,2020,1,301,0,NULL,5,4,0,0.8,6.54,NULL,NULL,NULL,NULL,NULL,5,4,0,0.8,6.54,19.2,7.27,3,2,0,1,0,0,0,1,1,0,1,0,0,3,0
AA200195  ,202,2016,1,102301,2020,1,241,0,NULL,5,5,0,1,8.33,5,5,0,1,8.68,10,10,0,1,8.51,100,7.99,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0
AA200333  ,209,2019,1,102302,2020,1,246,0,NULL,5,5,0,1,7.48,4,4,0,1,7.47,9,9,0,1,7.47,100,7.53,5,0,0,0,0,0,0,1,0,0,0,0,0,1,0
AA200484  ,105,2017,1,102302,2020,1,309,0,NULL,4,2,2,0.5,5.9,2,1,1,0.5,5.85,6,3,3,0.5,5.87,19.8,7.95,5,0,0,0,0,1,0,1,0,0,0,0,0,2,0
AA200509  ,104,2017,1,102301,2020,1,153,0,NULL,4,3,1,0.75,7.81,5,4,0,0.8,6.57,9,7,1,0.7778,7.19,28.6,7.91,4,1,0,0,0,0,0,1,0,0,0,0,0,1,0
AA200604  ,211,2019,1,102302,2020,1,258,0,NULL,5,5,0,1,9.05,4,4,0,1,9.44,9,9,0,1,9.25,100,8.93,4,0,0,0,0,0,0,1,0,0,0,0,0,1,0
AA200676  ,104,2017,1,102301,2020,1,396,0,NULL,4,4,0,1,8.08,5,4,0,0.8,6.33,9,8,0,0.8889,7.21,84.5,7.63,3,1,0,0,0,0,0,1,0,0,0,0,0,1,0
AA200692  ,103,2017,1,102301,2020,1,279,0,NULL,4,1,1,0.25,2.63,4,3,1,0.75,6.63,8,4,2,0.5,4.63,9.7,8.42,3,2,0,0,0,1,1,1,1,0,0,0,0,4,0
AA200976  ,106,2017,1,102302,2020,1,179,0,NULL,4,4,0,1,8.13,4,4,0,1,7.3,8,8,0,1,7.72,100,8.6,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0
AA201111  ,206,2018,1,102302,2020,1,384,0,NULL,3,3,0,1,7.08,3,3,0,1,8.21,6,6,0,1,7.64,100,6.21,4,0,0,0,0,0,0,1,0,0,0,0,0,1,0
AA201149  ,303,2016,1,102301,2020,1,445,0,NULL,5,3,1,0.6,5.56,4,4,0,1,7.19,9,7,1,0.7778,6.37,70.2,8.03,2,1,0,0,0,1,0,1,0,0,0,0,0,2,0
AA201171  ,702,2014,1,102302,2020,1,162,0,NULL,5,4,1,0.8,7.53,5,4,0,0.8,6.45,10,8,1,0.8,6.99,23.7,8.23,4,1,0,0,0,0,0,1,0,0,0,0,0,1,0
AA201174  ,106,2017,1,102301,2020,1,391,0,NULL,3,1,1,0.3333,4.68,NULL,NULL,NULL,NULL,NULL,3,1,1,0.3333,4.68,7.7,7.78,3,1,0,1,0,1,1,1,0,0,1,0,0,4,0
AA201227  ,209,2019,1,102302,2020,1,488,0,NULL,5,5,0,1,8.48,4,4,0,1,8.49,9,9,0,1,8.48,100,7.52,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0
AA201235  ,413,2016,1,102302,2020,1,250,0,NULL,5,4,0,0.8,5.82,5,3,2,0.6,5.82,10,7,2,0.7,5.82,38,6.98,2,1,0,0,0,1,0,1,0,0,0,0,0,2,1
AA201244  ,413,2016,1,102301,2020,1,229,1,50,4,4,0,1,8.04,4,4,0,1,8.04,8,8,0,1,8.04,47.6,7.58,4,0,0,0,0,0,0,1,0,0,0,0,0,1,0
AA201246  ,402,2019,1,102301,2020,1,502,0,NULL,4,0,3,0,2.48,NULL,NULL,NULL,NULL,NULL,4,0,3,0,2.48,0,8.01,2,1,0,1,0,1,1,1,0,0,1,0,0,4,0
AA201435  ,209,2019,1,102302,2020,1,23,1,50,5,5,0,1,8.16,5,5,0,1,8.76,10,10,0,1,8.46,100,8.04,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0
AA201467  ,209,2019,1,102302,2020,1,397,0,NULL,4,2,2,0.5,6.76,NULL,NULL,NULL,NULL,NULL,4,2,2,0.5,6.76,5,6,2,0,0,0,0,0,1,1,0,0,0,0,0,2,1
AA201593  ,219,2018,1,102301,2020,1,615,0,NULL,3,2,1,0.6667,5.76,NULL,NULL,NULL,NULL,NULL,3,2,1,0.6667,5.76,16.9,7.56,2,0,0,0,0,1,0,1,0,0,0,0,0,2,1
AA201706  ,206,2018,1,102301,2020,1,178,0,NULL,4,4,0,1,8.41,2,2,0,1,9.14,6,6,0,1,8.77,29.2,7.7,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0
AA201937  ,701,2019,1,102301,2020,1,176,0,NULL,5,4,0,0.8,6.28,5,4,0,0.8,6.28,10,8,0,0.8,6.28,65.5,3.57,4,2,0,0,1,1,0,1,1,0,0,0,0,4,0
AA202252  ,904,2019,9,102301,2020,1,91,0,NULL,4,3,1,0.75,7.44,5,2,3,0.4,4.59,9,5,4,0.5556,6.01,13.6,8.9,3,0,0,0,0,1,0,1,0,0,0,0,0,2,0
AA202377  ,404,2019,1,102301,2020,1,681,0,NULL,5,3,2,0.6,6.64,5,0,0,0,0,10,3,2,0.3,3.32,23.1,2.58,3,0,5,0,1,1,0,1,0,1,0,0,0,4,0
AA202419  ,202,2016,2,102302,2020,1,420,0,NULL,5,5,0,1,7.6,3,1,2,0.3333,3.52,8,6,2,0.75,5.56,15.7,7.6,5,0,0,0,0,1,0,1,0,0,0,0,0,2,1
AA202492  ,620,2017,2,102301,2020,1,18,0,NULL,3,3,0,1,9.13,3,3,0,1,9.11,6,6,0,1,9.12,66.7,1,4,0,0,0,1,0,0,1,0,0,0,0,0,2,0
AA202644  ,703,2013,1,102301,2020,1,363,0,NULL,6,5,1,0.8333,7.1,5,2,3,0.4,5.15,11,7,4,0.6364,6.12,26.5,7.7,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
AA202757  ,409,2019,1,102301,2020,1,196,0,NULL,5,5,0,1,7.98,5,5,0,1,7.2,10,10,0,1,7.59,49.4,7.61,2,0,0,0,0,0,0,1,0,0,0,0,0,1,1
AA202767  ,441,2009,1,102301,2020,1,152,0,NULL,6,6,0,1,7.87,5,5,0,1,8.78,11,11,0,1,8.32,18.6,7.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AA210016  ,106,2017,1,102302,2021,1,153,0,NULL,4,3,1,0.75,7.38,NULL,NULL,NULL,NULL,NULL,4,3,1,0.75,7.38,7.8,7.61,0,0,0,1,0,0,1,0,0,0,1,0,0,2,0
AA210072  ,104,2017,1,102301,2021,1,335,0,NULL,4,4,0,1,8.33,5,2,0,0.4,3.23,9,6,0,0.6667,5.78,13.7,1.5,4,3,0,0,1,1,0,1,1,0,0,0,0,4,1
AA210104  ,209,2019,1,102302,2021,1,258,0,NULL,5,5,0,1,8.55,4,3,1,0.75,7.83,9,8,1,0.8889,8.19,41,1.5,4,0,0,0,1,0,0,1,0,0,0,0,0,2,0
AA210120  ,702,2014,1,102301,2021,1,563,0,NULL,5,4,0,0.8,6.71,5,3,0,0.6,5.28,10,7,0,0.7,6,21.3,1.5,4,3,0,0,1,1,0,1,1,0,0,0,0,4,0
AA210277  ,107,2017,1,102301,2021,1,153,0,NULL,4,2,2,0.5,5.44,3,2,0,0.6667,5.44,7,4,2,0.5714,5.44,12.9,7.97,4,1,0,0,0,1,0,1,0,0,0,0,0,2,0
AA210329  ,413,2021,2,102302,2021,1,153,0,NULL,5,5,0,1,8.55,5,5,0,1,8.4,10,10,0,1,8.48,100,7.76,4,0,0,0,0,0,0,1,0,0,0,0,0,1,0
AA210396  ,219,2018,1,102302,2021,1,187,0,NULL,3,3,0,1,8.19,3,3,0,1,8.34,6,6,0,1,8.27,93.2,4.36,4,0,0,0,1,0,0,1,0,0,0,0,0,2,0
AA210512  ,219,2018,1,102302,2021,1,187,0,NULL,3,3,0,1,9.47,3,3,0,1,9.32,6,6,0,1,9.4,100,7.5,4,0,0,0,0,0,0,1,0,0,0,0,0,1,0
AA210527  ,209,2019,2,102302,2021,1,580,0,NULL,5,5,0,1,8.51,5,5,0,1,8.4,10,10,0,1,8.46,100,1.5,4,0,0,0,1,0,0,1,0,0,0,0,0,2,0
AA210758  ,202,2021,1,102302,2021,1,178,0,NULL,5,5,0,1,7.59,5,5,0,1,8.46,10,10,0,1,8.02,100,1,4,0,0,0,1,0,0,1,0,0,0,0,0,2,0
AA210847  ,219,2018,1,102302,2021,1,488,0,NULL,3,3,0,1,9.1,4,4,0,1,8.57,7,7,0,1,8.84,74.6,1.5,4,0,0,0,1,0,0,1,0,0,0,0,0,2,0
AA210863  ,202,2021,1,102302,2021,1,64,0,NULL,5,5,0,1,6.95,4,3,0,0.75,5.52,9,8,0,0.8889,6.23,45.3,2.08,4,1,0,0,1,1,0,1,0,0,0,0,0,3,0
AA210906  ,702,2014,1,102301,2021,1,285,0,NULL,5,3,2,0.6,6.74,4,2,0,0.5,4.95,9,5,2,0.5556,5.85,21.5,7.75,4,2,0,0,0,1,0,1,1,0,0,0,0,3,0
AA211128  ,604,2020,2,102301,2021,1,18,0,NULL,4,4,0,1,8.93,4,4,0,1,8.25,8,8,0,1,8.59,100,0,5,0,0,0,1,0,0,1,0,0,0,0,0,2,0
AA211304  ,108,2017,1,102301,2021,1,215,0,NULL,4,0,4,0,1.37,NULL,NULL,NULL,NULL,NULL,4,0,4,0,1.37,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,3,1
AA211376  ,219,2018,1,102302,2021,1,56,0,NULL,3,3,0,1,7.96,2,2,0,1,8.58,5,5,0,1,8.27,100,1.5,4,0,0,0,1,0,0,1,0,0,0,0,0,2,0
AA211508  ,109,2017,1,102301,2021,1,278,0,NULL,4,3,1,0.75,6.43,4,3,0,0.75,6.62,8,6,1,0.75,6.52,24.5,8.01,4,1,0,0,0,0,0,1,0,0,0,0,0,1,0
AA211571  ,302,2016,2,102302,2021,1,239,0,NULL,4,4,0,1,7.14,4,2,2,0.5,5.37,8,6,2,0.75,6.25,13.5,1,4,0,0,0,1,1,0,1,0,0,0,0,0,3,0
AA211650  ,219,2018,1,102302,2021,1,266,0,NULL,4,4,0,1,8.58,3,0,0,0,0,7,4,0,0.5714,4.29,10.2,1,4,0,3,0,1,1,0,1,0,1,0,0,0,4,1
AA211656  ,202,2021,1,102302,2021,1,161,0,NULL,3,3,0,1,7.37,4,2,2,0.5,5,7,5,2,0.7143,6.18,85.3,5.28,4,0,0,0,1,1,0,1,0,0,0,0,0,3,0
AA211722  ,202,2021,1,102301,2021,1,369,0,NULL,5,5,0,1,8.18,4,3,1,0.75,7.35,9,8,1,0.8889,7.76,97.6,1,4,0,0,0,1,0,0,1,0,0,0,0,0,2,0
AA211831  ,206,2018,2,102302,2021,1,397,0,NULL,3,3,0,1,8.29,3,3,0,1,8.78,6,6,0,1,8.54,100,6.21,4,0,0,1,0,0,0,1,0,0,1,0,0,2,0
AA211849  ,202,2021,1,102302,2021,1,285,0,NULL,5,5,0,1,7.59,5,5,0,1,8.14,10,10,0,1,7.87,95.9,1.5,4,0,0,0,1,0,0,1,0,0,0,0,0,2,0
AA212018  ,909,2019,9,102302,2021,1,196,0,NULL,5,0,0,0,0,NULL,NULL,NULL,NULL,NULL,5,0,0,0,0,0,7.63,0,0,5,0,0,1,1,0,0,1,0,0,0,3,1
AA212309,202,2021,1,102301,2021,1,434,0,NULL,2,2,0,1,8.81,NULL,NULL,NULL,NULL,NULL,2,2,0,1,8.81,4.1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,2,1
aa212375  ,301,2016,2,102302,2021,1,1152,1,50,5,5,0,1,8.35,4,2,1,0.5,5.17,9,7,1,0.7778,6.76,68,7.36,4,1,0,0,0,0,0,1,0,0,0,0,0,1,0
AA212402  ,414,2019,1,102301,2021,1,308,0,NULL,5,0,0,0,0,NULL,NULL,NULL,NULL,NULL,5,0,0,0,0,0,3.09,0,3,2,0,1,1,1,0,1,1,0,0,0,5,1
AA212477  ,702,2014,1,102301,2021,1,736,0,NULL,5,2,3,0.4,4.64,3,1,1,0.3333,3.85,8,3,4,0.375,4.24,8.5,6,4,1,0,0,0,1,1,1,0,0,0,0,0,3,0
aa212597  ,403,2019,1,102301,2021,1,245,0,NULL,5,3,2,0.6,6.89,3,2,1,0.6667,5.54,8,5,3,0.625,6.21,54.7,6.38,4,0,0,0,0,1,0,1,0,0,0,0,0,2,0
AA212673  ,604,2020,2,102302,2021,1,18,0,NULL,4,2,2,0.5,5.35,NULL,NULL,NULL,NULL,NULL,4,2,2,0.5,5.35,12.5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1
AA220077  ,106,2017,1,102302,2022,1,785,0,NULL,4,4,0,1,8.08,4,4,0,1,7.7,8,8,0,1,7.89,23.5,1,8,0,0,0,1,0,0,1,0,0,0,0,0,2,0
AA220083  ,702,2022,1,102301,2022,1,152,0,NULL,4,3,1,0.75,7.04,4,4,0,1,7.43,8,7,1,0.875,7.23,51.2,1,8,0,0,0,1,0,0,1,0,0,0,0,0,2,0
AA220466  ,104,2017,1,102301,2022,1,220,0,NULL,5,1,2,0.2,2.69,3,0,3,0,0.42,8,1,5,0.125,1.55,1.8,1,8,2,0,0,1,1,1,1,1,0,0,0,0,5,1
AA220632  ,109,2017,1,102301,2022,1,193,0,NULL,4,4,0,1,8.93,5,5,0,1,8.51,9,9,0,1,8.72,0,1.5,8,0,0,0,1,0,1,1,0,0,0,0,0,3,0
AA220641  ,209,2019,1,102302,2022,1,18,0,NULL,5,5,0,1,8.12,5,5,0,1,7.81,10,10,0,1,7.96,61.5,0,8,0,0,0,1,0,0,1,0,0,0,0,0,2,0
AA220760  ,702,2022,1,102302,2022,1,193,0,NULL,4,1,2,0.25,4.18,4,0,0,0,0,8,1,2,0.125,2.09,1.9,1.5,8,1,4,0,1,1,1,1,0,1,0,0,0,5,1
AA220954  ,206,2018,2,102301,2022,1,389,0,NULL,2,1,1,0.5,5.97,4,4,0,1,7.77,6,5,1,0.8333,6.87,83.3,7.67,8,0,0,0,0,0,0,1,0,0,0,0,0,1,0
AA221018  ,302,2016,2,102301,2022,1,349,0,NULL,5,3,0,0.6,4.42,3,0,0,0,0,8,3,0,0.375,2.21,5.9,3.92,8,2,3,0,1,1,1,1,1,1,0,0,0,6,0
AA221195  ,219,2018,1,102302,2022,1,178,0,NULL,3,3,0,1,8.78,3,3,0,1,7.36,6,6,0,1,8.07,88.1,1,8,0,0,0,1,0,0,1,0,0,0,0,0,2,0
AA221257  ,206,2018,1,102302,2022,1,161,0,NULL,3,3,0,1,8.34,3,3,0,1,8.25,6,6,0,1,8.29,88.1,1.5,8,0,0,0,1,0,0,1,0,0,0,0,0,2,0
AA221453  ,906,2020,9,102301,2022,1,404,0,NULL,5,5,0,1,8.82,5,5,0,1,7.17,10,10,0,1,8,43.2,8.54,10,0,0,0,0,0,0,1,0,0,0,0,0,1,0
AA221550  ,108,2017,1,102302,2022,1,285,0,NULL,5,3,1,0.6,5.7,NULL,NULL,NULL,NULL,NULL,5,3,1,0.6,5.7,5.4,1.5,4,1,0,0,1,1,1,1,0,0,0,0,0,4,1
AA221569  ,914,2020,9,102302,2022,1,187,0,NULL,6,5,0,0.8333,6.48,5,4,1,0.8,8.11,11,9,1,0.8182,7.3,100,5.9,10,1,0,0,1,0,0,1,0,0,0,0,0,2,0
AA221619  ,209,2019,2,102301,2022,1,775,0,NULL,6,3,3,0.5,4.43,3,1,2,0.3333,4.09,9,4,5,0.4444,4.26,65.9,1.5,8,0,0,0,1,1,0,1,0,0,0,0,0,3,0
AA221718  ,903,2019,9,102302,2022,1,474,0,NULL,5,0,5,0,1.33,NULL,NULL,NULL,NULL,NULL,5,0,5,0,1.33,0,5.8,5,0,0,0,1,1,1,1,0,0,0,0,0,4,1
AA221797  ,901,2019,9,102301,2022,1,330,0,NULL,4,0,0,0,0,NULL,NULL,NULL,NULL,NULL,4,0,0,0,0,0,0,5,0,4,0,1,1,1,1,0,1,0,0,0,5,1
AA221959  ,409,2019,1,102301,2022,1,335,0,NULL,5,5,0,1,8.25,6,5,1,0.8333,7.54,11,10,1,0.9091,7.9,88.8,8.6,8,0,0,0,0,0,0,1,0,0,0,0,0,1,0
AA222002  ,209,2019,1,102302,2022,1,348,0,NULL,4,3,1,0.75,6.97,3,1,0,0.3333,2.37,7,4,1,0.5714,4.67,71.4,1,8,2,0,0,1,1,0,1,1,0,0,0,0,4,0
AA222238  ,103,2017,1,102301,2022,1,681,0,NULL,5,0,0,0,0,NULL,NULL,NULL,NULL,NULL,5,0,0,0,0,0,0,4,0,5,0,1,1,1,1,0,1,0,0,0,5,1
AA222270  ,901,2019,9,102301,2022,1,161,0,NULL,5,0,5,0,0.25,NULL,NULL,NULL,NULL,NULL,5,0,5,0,0.25,0,0,5,0,0,0,1,1,1,1,0,0,0,0,0,4,1
AA222286  ,701,2019,1,102301,2022,1,29,0,NULL,4,3,0,0.75,5.87,4,1,3,0.25,6.63,8,4,3,0.5,6.25,14.2,7.5,8,1,0,0,0,1,0,1,0,0,0,0,0,2,1
AA222534  ,206,2018,1,102301,2022,1,325,0,NULL,3,0,3,0,2.63,NULL,NULL,NULL,NULL,NULL,3,0,3,0,2.63,0,0,4,0,0,0,1,1,1,1,0,0,0,0,0,4,1
AA222707  ,102,2017,1,102301,2022,1,553,0,NULL,4,2,1,0.5,4.37,3,2,1,0.6667,5.4,7,4,2,0.5714,4.89,7.8,8.19,8,1,0,0,0,1,1,1,0,0,0,0,0,3,1
AA222742  ,444,2018,1,102301,2022,1,152,0,NULL,6,5,1,0.8333,6.82,3,2,1,0.6667,6.3,9,7,2,0.7778,6.56,7.5,1,0,0,0,0,1,0,1,0,0,0,0,0,0,2,1
AA222744  ,444,2018,1,102301,2022,1,152,0,NULL,6,5,1,0.8333,6.93,3,2,1,0.6667,6.41,9,7,2,0.7778,6.67,95.5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
AA230034,609,2023,2,102301,2023,1,18,0,NULL,4,3,1,0.75,7.19,NULL,NULL,NULL,NULL,NULL,4,3,1,0.75,7.19,18.8,0,5,0,0,0,1,0,0,1,0,0,0,0,0,2,1
AA230040,904,2023,9,102301,2023,1,233,0,NULL,6,6,0,1,8.28,5,4,1,0.8,6.7,11,10,1,0.9091,7.49,43.2,8.78,10,0,0,0,0,0,0,1,0,0,0,0,0,1,0
AA230087,901,2023,9,102301,2023,1,378,0,NULL,5,5,0,1,9.06,3,3,0,1,8.61,8,8,0,1,8.84,100,6,10,0,0,0,0,0,0,1,0,0,0,0,0,1,0
AA230104,611,2021,9,102302,2023,1,18,0,NULL,3,3,0,1,9.87,3,3,0,1,9.47,6,6,0,1,9.67,100,0,10,0,0,0,1,0,0,1,0,0,0,0,0,2,0
AA230261  ,104,2023,2,102301,2023,1,296,0,NULL,4,2,1,0.5,5.39,4,3,1,0.75,6.91,8,5,2,0.625,6.15,28.6,1.5,8,1,0,0,1,1,0,1,0,0,0,0,0,3,0
AA230630  ,209,2019,2,102301,2023,1,558,0,NULL,5,5,0,1,7.23,5,3,2,0.6,5.93,10,8,2,0.8,6.58,19.9,1,8,0,0,0,1,0,0,1,0,0,0,0,0,2,1
AA230704,209,2019,1,102301,2023,1,762,0,NULL,5,5,0,1,7.58,5,5,0,1,8.11,10,10,0,1,7.84,71.4,1,8,1,0,0,1,0,0,1,0,0,0,0,0,2,0
AA231258,901,2023,9,102301,2023,1,32,0,NULL,4,2,2,0.5,6.86,NULL,NULL,NULL,NULL,NULL,4,2,2,0.5,6.86,10,0,5,0,0,0,1,0,1,1,0,0,0,0,0,3,1
AA231377,416,2022,1,102302,2023,1,187,0,NULL,3,3,0,1,8.3,3,3,0,1,7.71,6,6,0,1,8,100,0.5,8,0,0,0,1,0,0,1,0,0,0,0,0,2,0
AA231413,219,2018,1,102302,2023,1,445,0,NULL,3,2,1,0.6667,6.15,3,3,0,1,7.48,6,5,1,0.8333,6.81,27.1,1,8,0,0,0,1,0,0,1,0,0,0,0,0,2,0
AA231472  ,202,2021,1,102302,2023,1,475,0,NULL,4,4,0,1,8.67,4,4,0,1,8.65,8,8,0,1,8.66,63.5,1,8,0,0,0,1,0,0,1,0,0,0,0,0,2,0
AA231717,702,2022,1,102301,2023,1,378,0,NULL,5,4,1,0.8,6.41,NULL,NULL,NULL,NULL,NULL,5,4,1,0.8,6.41,7.4,0,4,0,0,0,1,1,1,1,0,0,0,0,0,4,1
AA231724,919,2020,9,102302,2023,1,210,0,NULL,4,0,4,0,1.81,NULL,NULL,NULL,NULL,NULL,4,0,4,0,1.81,0,1,5,0,0,1,1,1,1,1,0,0,1,0,0,5,1
AA231798,106,2023,2,102302,2023,1,706,0,NULL,4,0,4,0,2.74,NULL,NULL,NULL,NULL,NULL,4,0,4,0,2.74,0,1,4,0,0,0,1,1,1,1,0,0,0,0,0,4,1
AA231901,104,2023,1,102301,2023,1,285,0,NULL,4,1,1,0.25,3.2,NULL,NULL,NULL,NULL,NULL,4,1,1,0.25,3.2,16.1,1,4,2,0,0,1,1,0,1,1,0,0,0,0,4,0
AA232031  ,611,2021,9,102302,2023,1,18,0,NULL,3,3,0,1,9.77,3,3,0,1,8.58,6,6,0,1,9.18,100,0,10,0,0,0,1,0,0,1,0,0,0,0,0,2,0
AA232032  ,202,2021,2,102301,2023,1,296,0,NULL,5,5,0,1,8.29,4,4,0,1,8.32,9,9,0,1,8.3,67.6,1.5,8,0,0,0,1,0,0,1,0,0,0,0,0,2,0
AA232050,305,2023,1,102301,2023,1,22,0,NULL,4,3,1,0.75,6.47,4,4,0,1,7.17,8,7,1,0.875,6.82,41.2,1,8,0,0,0,1,0,0,1,0,0,0,0,0,2,0
AA232129,702,2022,1,102301,2023,1,1262,0,NULL,4,0,4,0,0,NULL,NULL,NULL,NULL,NULL,4,0,4,0,0,0,0,4,0,0,0,1,1,1,1,0,0,0,0,0,4,1
AA232279  ,209,2019,2,102301,2023,1,176,0,NULL,5,5,0,1,7.5,6,6,0,1,7.4,11,11,0,1,7.45,34.2,4.27,8,0,0,0,1,0,0,1,0,0,0,0,0,2,0
AA232584,106,2023,2,102302,2023,1,183,0,NULL,4,2,1,0.5,4.84,2,0,2,0,3.83,6,2,3,0.3333,4.33,35.6,7.78,8,2,0,0,0,1,0,1,1,0,0,0,0,3,0
AA232588,206,2018,1,102302,2023,1,454,0,NULL,3,1,2,0.3333,4.89,2,1,1,0.5,5.78,5,2,3,0.4,5.33,17.9,1,8,0,0,0,1,1,0,1,0,0,0,0,0,3,1
AA232600,102,2022,1,102301,2023,1,630,0,NULL,1,1,0,1,9.85,2,1,0,0.5,3.23,3,2,0,0.6667,6.54,4.9,1,8,1,0,0,1,0,1,1,0,0,0,0,0,3,1
AA232790  ,621,2020,1,102302,2023,1,18,0,NULL,4,4,0,1,8.05,4,4,0,1,8.28,8,8,0,1,8.16,17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
AA240107,919,2024,9,102301,2024,1,18,0,NULL,5,3,1,0.6,4.94,5,3,2,0.6,6.51,10,6,3,0.6,5.73,15,0,10,1,0,0,1,1,0,1,0,0,0,0,0,3,1
AA240136,702,2024,1,102301,2024,1,436,0,NULL,4,4,0,1,6.89,5,3,0,0.6,4.25,9,7,0,0.7778,5.57,22.8,0,10,2,0,0,1,1,0,1,1,0,0,0,0,4,0
AA240390,404,2024,1,102301,2024,1,305,0,NULL,5,5,0,1,8.39,4,4,0,1,8.43,9,9,0,1,8.41,84.8,1,10,0,0,0,1,0,0,1,0,0,0,0,0,2,0
AA240395  ,104,2024,1,102301,2024,1,178,0,NULL,4,3,0,0.75,5.64,4,4,0,1,6.91,8,7,0,0.875,6.27,31.1,1.5,10,1,0,0,1,1,0,1,0,0,0,0,0,3,0
AA240398  ,109,2024,1,102301,2024,1,35,0,NULL,4,2,1,0.5,4.45,3,0,3,0,2.35,7,2,4,0.2857,3.4,3.7,0.5,10,1,0,0,1,1,1,1,0,0,0,0,0,4,1
AA240501  ,104,2024,2,102301,2024,1,176,0,NULL,5,4,1,0.8,6.7,4,2,1,0.5,5.45,9,6,2,0.6667,6.07,36,1.5,10,1,0,0,1,1,0,1,0,0,0,0,0,3,0
AA240608,209,2024,2,102302,2024,1,349,0,NULL,5,5,0,1,8.24,5,5,0,1,8.57,10,10,0,1,8.4,47.8,1,10,0,0,0,1,0,0,1,0,0,0,0,0,2,0
AA240617  ,409,2024,1,102302,2024,1,245,1,50,5,5,0,1,9.13,5,5,0,1,9.7,10,10,0,1,9.42,47.8,1,10,0,0,0,1,0,0,1,0,0,0,0,0,2,0
AA240712,215,2024,1,102302,2024,1,153,0,NULL,5,5,0,1,8.31,5,5,0,1,8.75,10,10,0,1,8.53,47.8,1.5,10,0,0,0,1,0,0,1,0,0,0,0,0,2,0
AA240770,209,2024,1,102301,2024,1,188,0,NULL,5,4,1,0.8,6.62,4,4,0,1,8.28,9,8,1,0.8889,7.45,37.9,1,10,0,0,0,1,0,0,1,0,0,0,0,0,2,0
AA241067,219,2024,1,102302,2024,1,266,0,NULL,3,3,0,1,8.72,4,4,0,1,7.82,7,7,0,1,8.27,42.9,3.6,10,0,0,0,1,0,0,1,0,0,0,0,0,2,0
AA241113,206,2024,1,102302,2024,1,488,0,NULL,3,3,0,1,8.86,3,3,0,1,8.99,6,6,0,1,8.93,38.1,1,10,0,0,0,1,0,0,1,0,0,0,0,0,2,0
AA241134,219,2024,1,102302,2024,1,241,0,NULL,3,3,0,1,8.99,4,4,0,1,9,7,7,0,1,8.99,42.9,1,10,0,0,0,1,0,0,1,0,0,0,0,0,2,0
AA241241  ,413,2024,1,102301,2024,1,309,0,NULL,5,5,0,1,8.37,5,4,1,0.8,7.5,10,9,1,0.9,7.94,75,1,10,0,0,0,1,0,0,1,0,0,0,0,0,2,0
