Carnet,Carrera,Plan,IdCampus,Sexo,AnioIngreso,CicloIngreso,InstitucionBach,TieneBeca,PorcentajeBeca_Promedio,MateriasInscritas_C1,MateriasAprobadas_C1,MateriasReprobadas_C1,TasaAprobacion_C1,PromedioCiclo_C1,MateriasInscritas_C2,MateriasAprobadas_C2,MateriasReprobadas_C2,TasaAprobacion_C2,PromedioCiclo_C2,TotalMateriasInscritas_Anio1,TotalMateriasAprobadas_Anio1,TotalMateriasReprobadas_Anio1,TasaAprobacion_Anio1,PromedioGeneral_Anio1,AvanceCarrera_FinAnio1,PAES_Score,CantInsolvencias_Recurrentes,CantRetirosParciales,CantRetirosTotales,CantCambiosCarrera,Ind_PAES,Ind_CUM,Ind_Avance,Ind_Solvencia,Ind_RetiroParcial,Ind_RetiroTotal,Ind_CambioCarrera,Ind_Reprobacion,Ind_BrechaDesercion,IRE_Total,Deserto
CA222017  ,909,2019,9,102302,2022,1,201,0,NULL,4,0,0,0,0,NULL,NULL,NULL,NULL,NULL,4,0,0,0,0,50,3.56,5,2,2,0,1,1,0,1,1,1,0,0,0,5,1
CA222101  ,104,2017,1,102302,2022,1,245,0,NULL,4,2,0,0.5,4.2,5,3,1,0.6,6.28,9,5,1,0.5556,5.24,10.1,1,8,3,0,0,1,1,0,1,1,0,0,0,0,4,0
CA222353  ,701,2019,1,102301,2022,1,1342,0,NULL,5,4,0,0.8,6.37,5,5,0,1,7.57,10,9,0,0.9,6.97,69,1,8,2,0,0,1,0,0,1,1,0,0,0,0,3,0
CA222386  ,701,2019,1,102301,2022,1,825,0,NULL,5,4,0,0.8,6.08,4,4,0,1,7.75,9,8,0,0.8889,6.91,100,1,8,1,0,0,1,0,0,1,0,0,0,0,0,2,0
CA222507  ,219,2018,1,102302,2022,1,1007,0,NULL,3,3,0,1,8.94,4,2,0,0.5,3.76,7,5,0,0.7143,6.35,21.5,1.5,8,2,0,0,1,1,0,1,1,0,0,0,0,4,0
CA222522  ,206,2018,1,102301,2022,1,309,0,NULL,3,3,0,1,9.41,2,2,0,1,8.9,5,5,0,1,9.15,88.1,0.5,8,0,0,0,1,0,0,1,0,0,0,0,0,2,0
CA222764  ,302,2016,1,102301,2022,1,342,0,NULL,4,2,1,0.5,5.65,NULL,NULL,NULL,NULL,NULL,4,2,1,0.5,5.65,13.5,1.5,4,1,0,0,1,1,0,1,0,0,0,0,0,3,1
CA230011  ,618,2020,2,102301,2023,1,18,0,NULL,3,1,2,0.3333,2.59,NULL,NULL,NULL,NULL,NULL,3,1,2,0.3333,2.59,6.3,0,5,0,0,0,1,1,1,1,0,0,0,0,0,4,1
CA230099  ,903,2023,9,102302,2023,1,317,0,NULL,5,2,1,0.4,3.7,5,2,3,0.4,4.68,10,4,4,0.4,4.19,9.1,6.57,10,2,0,0,0,1,1,1,1,0,0,0,0,4,1
CA230256,109,2022,1,102301,2023,1,309,0,NULL,4,1,2,0.25,5.18,3,2,1,0.6667,6.95,7,3,3,0.4286,6.06,17.4,1.5,8,1,0,0,1,1,0,1,0,0,0,0,0,3,0
CA230257  ,106,2023,1,102302,2023,1,273,0,NULL,4,4,0,1,8.05,4,1,0,0.25,1.86,8,5,0,0.625,4.96,13.1,1.5,8,3,0,0,1,1,0,1,1,0,0,0,0,4,0
